HLD_NYDY,HLD_MLKJ,HLD_VLND,HLD_PRES,HLD_ESTR,HLD_MTHR,HLD_MOMR,HLD_FTHR,HLD_INDO,HLD_INDA,HLD_LABR,HLD_CLMB,HLD_HLWE,HLD_VTRN,HLD_THKS,HLD_CHEV,HLD_CHRS,HLD_NYRE
1,1,,,,,,,,,,,,,,,,
,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,
,,,,,1,1,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,
,,,,,,,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,1,1,,,,,
,,,,,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,1,1,1
1,1,,,,,,,,,,,,,,,,
,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,
,,,,,1,1,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,
,,,,,,,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,1,1,,,,,
,,,,,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,1,1,1
1,1,,,,,,,,,,,,,,,,
,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,
,,,,,1,1,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,
,,,,,,,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,1,1,,,,,
,,,,,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,1,1,1
1,1,,,,,,,,,,,,,,,,
,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,
,,,,,1,1,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,
,,,,,,,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,1,1,,,,,
,,,,,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,1,1,1
1,1,,,,,,,,,,,,,,,,
,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,
,,,,,1,1,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,
,,,,,,,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,1,1,,,,,
,,,,,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,1,1,1
1,1,,,,,,,,,,,,,,,,
,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,
,,,,,1,1,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,
,,,,,,,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,1,1,,,,,
,,,,,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,1,1,1
1,1,,,,,,,,,,,,,,,,
,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,
,,,,,1,1,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,
,,,,,,,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,1,1,,,,,
,,,,,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,1,1,1
1,1,,,,,,,,,,,,,,,,
,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,
,,,,,1,1,,,,,,,,,,,
,,,,,,,1,,,,,,,,,,
,,,,,,,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,1,1,,,,,
,,,,,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,1,1,1
